threads;execution time, s
1;0,882530
2;0,446184
3;0,308884
4;0,232210
5;0,218191
6;0,220527
7;0,202471
8;0,185752
9;0,177588
10;0,180908
11;0,193229
12;0,182059
13;0,215208
14;0,170335
15;0,180424
16;0,176176
17;0,183305
18;0,196975
19;0,175553
20;0,171428
21;0,173783
22;0,169835
23;0,166907
24;0,167542
25;0,170983
26;0,178326
27;0,168849
28;0,167048
29;0,168029
30;0,171478
31;0,169452
32;0,174854
33;0,174851
34;0,175513
35;0,173417
36;0,173359
37;0,169791
38;0,167859
39;0,170812
40;0,169646
41;0,196388
42;0,172123
43;0,169571
44;0,169177
45;0,168240
46;0,168523
47;0,177793
48;0,170113
49;0,185348
50;0,175241
51;0,177254
52;0,172758
53;0,175788
54;0,178239
55;0,173757
56;0,169748
57;0,168586
58;0,168399
59;0,166550
60;0,170095
61;0,167194
62;0,167024
63;0,167775
64;0,174295
65;0,169700
66;0,169939
67;0,168348
68;0,174301
69;0,167416
70;0,168689
71;0,169711
72;0,168026
73;0,167474
74;0,178463
75;0,186290
76;0,169954
77;0,169516
78;0,170252
79;0,169785
80;0,170218
81;0,196153
82;0,169367
83;0,176985
84;0,186235
85;0,174635
86;0,170873
87;0,168262
88;0,172705
89;0,171123
90;0,170988
91;0,170018
92;0,168249
93;0,166793
94;0,168544
95;0,167632
96;0,167626
97;0,169968
98;0,167261
99;0,169054
100;0,166639
101;0,168218
102;0,167989
103;0,167875
104;0,166836
105;0,167977
106;0,166164
107;0,170341
108;0,166593
109;0,168010
110;0,176572
111;0,180952
112;0,180929
113;0,174509
114;0,177513
115;0,175276
116;0,176015
117;0,177379
118;0,174166
119;0,178201
120;0,177136
121;0,172418
122;0,166433
123;0,167678
124;0,166607
125;0,166531
126;0,166876
127;0,166050
128;0,195249
129;0,168110
130;0,166954
131;0,166152
132;0,167528
133;0,165700
134;0,167714
135;0,169365
136;0,166996
137;0,166460
138;0,166626
139;0,166697
140;0,176458
141;0,180656
142;0,176753
143;0,172816
144;0,174948
145;0,166479
146;0,167213
147;0,165940
148;0,166552
149;0,168599
150;0,167181
151;0,166156
152;0,167622
153;0,167463
154;0,165947
155;0,170368
156;0,166464
157;0,167802
158;0,166583
159;0,168845
160;0,198355
161;0,171338
162;0,168318
163;0,175005
164;0,177861
165;0,172117
166;0,167079
167;0,167325
168;0,166970
169;0,169640
170;0,166911
171;0,166933
172;0,167343
173;0,166148
174;0,168538
175;0,167288
176;0,167399
177;0,167002
178;0,166538
179;0,167502
180;0,167690
181;0,168266
182;0,166936
183;0,167378
184;0,167735
185;0,193312
186;0,167890
187;0,169074
188;0,166849
189;0,168563
190;0,167470
191;0,168213
192;0,175490
193;0,180420
194;0,171372
195;0,172744
196;0,173594
197;0,173314
198;0,170934
199;0,169694
200;0,167607
201;0,166792
202;0,167013
203;0,174104
204;0,177621
205;0,176854
206;0,170012
207;0,168561
208;0,168051
209;0,171106
210;0,170006
211;0,180206
212;0,172896
213;0,168505
214;0,167715
215;0,166797
216;0,167566
217;0,168230
218;0,168030
219;0,167830
220;0,168061
221;0,168615
222;0,167935
223;0,169172
224;0,167567
225;0,166427
226;0,169508
227;0,170111
228;0,180591
229;0,177790
230;0,167855
231;0,168209
232;0,168327
233;0,170841
234;0,175183
235;0,166442
236;0,167785
237;0,166917
238;0,167245
239;0,167021
240;0,169058
241;0,166672
242;0,189985
243;0,167482
244;0,167012
245;0,167776
246;0,180024
247;0,170633
248;0,167316
249;0,167616
250;0,167228
251;0,167354
252;0,167838
253;0,168537
254;0,167271
255;0,169963
256;0,166519
257;0,170541
258;0,167906
259;0,179716
260;0,173609
261;0,171255
262;0,172578
263;0,170110
264;0,167591
265;0,168535
266;0,167838
267;0,167203
268;0,167338
269;0,166777
270;0,166955
271;0,166887
272;0,167504
273;0,167915
274;0,167304
275;0,167586
276;0,167039
277;0,167805
278;0,166989
279;0,166932
280;0,167114
281;0,167761
282;0,166212
283;0,167026
284;0,167687
285;0,171407
286;0,167685
287;0,169636
288;0,167062
289;0,168378
290;0,168936
291;0,172219
292;0,174757
293;0,168219
294;0,173613
295;0,172836
296;0,180450
297;0,172566
298;0,170110
299;0,178121
300;0,172219
301;0,167348
302;0,167239
303;0,169147
304;0,175570
305;0,167878
306;0,174100
307;0,169180
308;0,167373
309;0,195020
310;0,175347
311;0,171521
312;0,174208
313;0,171531
314;0,172742
315;0,179426
316;0,175333
317;0,171548
318;0,172240
319;0,265992
320;0,196742
321;0,175761
322;0,175291
323;0,175499
324;0,173874
325;0,174681
326;0,176074
327;0,174214
328;0,175079
329;0,193650
330;0,175308
331;0,189635
332;0,180058
333;0,171137
334;0,176629
335;0,169862
336;0,175984
337;0,173961
338;0,176096
339;0,174928
340;0,175517
341;0,172244
342;0,206066
343;0,182478
344;0,199721
345;0,174458
346;0,178851
347;0,176574
348;0,184118
349;0,185112
350;0,177967
351;0,175665
352;0,174208
353;0,175174
354;0,189027
355;0,178108
356;0,176035
357;0,172141
358;0,183934
359;0,174186
360;0,175854
361;0,175119
362;0,185069
363;0,173358
364;0,173638
365;0,173402
366;0,182551
367;0,173183
368;0,177368
369;0,175580
370;0,227350
371;0,233654
372;0,219191
373;0,227247
374;0,175031
375;0,171061
376;0,172034
377;0,174178
378;0,172736
379;0,182667
380;0,174219
381;0,178963
382;0,172395
383;0,172402
384;0,176228
385;0,183507
386;0,184027
387;0,171722
388;0,182285
389;0,174822
390;0,172805
391;0,185056
392;0,176512
393;0,176809
394;0,176532
395;0,175552
396;0,186398
397;0,175318
398;0,174009
399;0,173314
400;0,188376
401;0,192271
402;0,171856
403;0,173308
404;0,189084
405;0,200024
406;0,174873
407;0,174036
408;0,224435
409;0,183265
410;0,171187
411;0,191090
412;0,208726
413;0,210255
414;0,195137
415;0,203552
416;0,204221
417;0,210966
418;0,208344
419;0,271530
420;0,256621
421;0,264133
422;0,215665
423;0,195221
424;0,179988
425;0,176240
426;0,179423
427;0,173359
428;0,176372
429;0,177804
430;0,183236
431;0,194820
432;0,190057
433;0,169317
434;0,171570
435;0,179135
436;0,182446
437;0,174000
438;0,172945
439;0,177712
440;0,175659
441;0,169486
442;0,174571
443;0,174785
444;0,174374
445;0,173709
446;0,174979
447;0,172582
448;0,216116
449;0,198240
450;0,174110
451;0,175181
452;0,176884
453;0,179044
454;0,178397
455;0,177526
456;0,180756
457;0,185943
458;0,199857
459;0,179797
460;0,181166
461;0,183407
462;0,257894
463;0,225729
464;0,260849
465;0,269288
466;0,209495
467;0,195101
468;0,187373
469;0,217733
470;0,192025
471;0,210924
472;0,196323
473;0,187748
474;0,215916
475;0,225068
476;0,196478
477;0,180183
478;0,192317
479;0,182616
480;0,179448
481;0,192691
482;0,196982
483;0,184239
484;0,238414
485;0,179403
486;0,196029
487;0,190509
488;0,190523
489;0,185959
490;0,183937
491;0,186314
492;0,185393
493;0,193517
494;0,183705
495;0,184222
496;0,181940
497;0,183958
498;0,189223
499;0,325706
500;0,190899
501;0,179442
502;0,188342
503;0,183753
504;0,178250
505;0,178337
506;0,190427
507;0,182045
508;0,179247
509;0,179743
510;0,184469
511;0,178678
512;0,217953
513;0,182999
514;0,180764
515;0,182383
516;0,181769
517;0,179862
518;0,177331
519;0,179997
520;0,196183
521;0,186964
522;0,184807
523;0,194616
524;0,185654
525;0,178936
526;0,190624
527;0,182628
528;0,184989
529;0,180113
530;0,190748
531;0,186556
532;0,183467
533;0,180710
534;0,187101
535;0,195431
536;0,219530
537;0,276176
538;0,296633
539;0,349249
540;0,242092
541;0,195217
542;0,190777
543;0,196581
544;0,192886
545;0,201701
546;0,200340
547;0,241672
548;0,224018
549;0,204525
550;0,214308
551;0,185937
552;0,193964
553;0,211811
554;0,204494
555;0,226988
556;0,236393
557;0,197780
558;0,203369
559;0,194338
560;0,190884
561;0,210388
562;0,197498
563;0,206399
564;0,184210
565;0,191665
566;0,194126
567;0,185984
568;0,187206
569;0,190581
570;0,202022
571;0,191666
572;0,190481
573;0,189856
574;0,185884
575;0,177701
576;0,179421
577;0,190186
578;0,181314
579;0,186468
580;0,181972
581;0,191895
582;0,195864
583;0,185327
584;0,178879
585;0,187201
586;0,183903
587;0,183828
588;0,209022
589;0,198426
590;0,180830
591;0,182062
592;0,184631
593;0,223557
594;0,195492
595;0,189022
596;0,192896
597;0,193509
598;0,194674
599;0,184463
600;0,183681
601;0,190925
602;0,184656
603;0,180933
604;0,179213
605;0,205984
606;0,179696
607;0,176645
608;0,179612
609;0,178235
610;0,178506
611;0,179779
612;0,177998
613;0,180188
614;0,180164
615;0,193006
616;0,182234
617;0,188533
618;0,182728
619;0,178189
620;0,180696
621;0,184690
622;0,181902
623;0,178953
624;0,181601
625;0,186497
626;0,182739
627;0,178987
628;0,177447
629;0,182649
630;0,185229
631;0,189079
632;0,183832
633;0,187841
634;0,187394
635;0,187269
636;0,184129
637;0,184087
638;0,204373
639;0,192801
640;0,182204
641;0,188427
642;0,191977
643;0,188613
644;0,183072
645;0,180347
646;0,184577
647;0,188843
648;0,182169
649;0,193333
650;0,189916
651;0,184191
652;0,181389
653;0,185108
654;0,187962
655;0,186067
656;0,183665
657;0,178521
658;0,194840
659;0,180114
660;0,187311
661;0,185710
662;0,185306
663;0,182063
664;0,181733
665;0,240746
666;0,186448
667;0,185033
668;0,190778
669;0,186465
670;0,185498
671;0,188549
672;0,182109
673;0,190399
674;0,186602
675;0,187927
676;0,180964
677;0,183145
678;0,183416
679;0,180797
680;0,197873
681;0,194227
682;0,180530
683;0,183471
684;0,182731
685;0,184724
686;0,187210
687;0,199539
688;0,191973
689;0,184280
690;0,182668
691;0,181554
692;0,186205
693;0,188775
694;0,193620
695;0,193798
696;0,183757
697;0,185767
698;0,191237
699;0,191729
700;0,187846
701;0,191810
702;0,185980
703;0,213494
704;0,187426
705;0,187067
706;0,194577
707;0,185690
708;0,181099
709;0,186087
710;0,184952
711;0,185689
712;0,187987
713;0,183526
714;0,183198
715;0,188348
716;0,202137
717;0,193215
718;0,188538
719;0,186286
720;0,185727
721;0,185710
722;0,184210
723;0,193339
724;0,184637
725;0,184972
726;0,192147
727;0,182384
728;0,181218
729;0,184375
730;0,188518
731;0,185889
732;0,183969
733;0,183291
734;0,182881
735;0,186053
736;0,192670
737;0,185414
738;0,185095
739;0,190455
740;0,195637
741;0,185090
742;0,189015
743;0,187782
744;0,182437
745;0,188488
746;0,188322
747;0,189930
748;0,185285
749;0,190678
750;0,192685
751;0,188368
752;0,195141
753;0,185941
754;0,193375
755;0,188769
756;0,214775
757;0,249957
758;0,192920
759;0,187384
760;0,192478
761;0,195099
762;0,190064
763;0,186540
764;0,240780
765;0,269170
766;0,215261
767;0,216500
768;0,226787
769;0,208683
770;0,191499
771;0,198032
772;0,197678
773;0,194287
774;0,189771
775;0,195806
776;0,200865
777;0,194420
778;0,197284
779;0,216605
780;0,198452
781;0,191985
782;0,192175
783;0,188210
784;0,193914
785;0,196694
786;0,190677
787;0,188857
788;0,188078
789;0,201367
790;0,193514
791;0,223379
792;0,246534
793;0,212698
794;0,243904
795;0,259585
796;0,246072
797;0,211779
798;0,205799
799;0,203999
